"";"x"
"1";11,628473808257
"2";8,65388304026188
"3";7,39728750063235
"4";4,27161540063363
"5";3,95987307526218
"6";3,84870276822434
"7";3,30163068057525
"8";3,07256273723178
"9";2,73373092756538
"10";2,47001786046628
"11";2,34323915691527
"12";2,28405331581762
"13";2,10047671854277
"14";2,00870906494286
"15";1,932380092173
"16";1,84907079855224
"17";1,75701175998603
"18";1,68477028293946
"19";1,61396360373285
"20";1,54516543569346
"21";1,48898930327579
"22";1,36753069932978
"23";1,32436498682919
"24";1,23487817095617
"25";1,20154575454435
"26";1,1532551965887
"27";1,14214085564414
"28";1,10752549899247
"29";1,03490873108687
"30";1,02290537390783
"31";0,963679232104244
"32";0,941070586912251
"33";0,923554212857095
"34";0,918971431014734
"35";0,857990776659593
"36";0,856919599491758
"37";0,809931109335768
"38";0,775579291923657
"39";0,747559278291879
"40";0,731279068673366
"41";0,717310834797483
"42";0,693681763200189
"43";0,66635616107654
"44";0,657875634722812
"45";0,634250005775457
"46";0,620214383536484
"47";0,602961883142033
"48";0,590475621145712
"49";0,565157792980347
"50";0,552865437689117
"51";0,540787782663302
"52";0,511706594031497
"53";0,501313483744001
"54";0,491040290001911
"55";0,474404236303073
"56";0,466320363144914
"57";0,451332832253914
"58";0,449797572620153
"59";0,442104213623987
"60";0,430594834241844
"61";0,422667478891978
"62";0,410124051437236
"63";0,397947401007393
"64";0,39194889807271
"65";0,388209257032196
"66";0,381956110882501
"67";0,353566746893776
"68";0,343999942463269
"69";0,341978350046757
"70";0,337397916778072
"71";0,329590437900837
"72";0,320112430137221
"73";0,31341210798923
"74";0,308935625808661
"75";0,302056231095671
"76";0,289318719126251
"77";0,285473623810673
"78";0,277302355708147
"79";0,27287031964111
"80";0,26353917386415
"81";0,259213848803081
"82";0,255476460858541
"83";0,252820060562234
"84";0,246483813808645
"85";0,242402929370348
"86";0,237211924232939
"87";0,23070065802454
"88";0,224043685028027
"89";0,218057442815034
"90";0,216294174095804
"91";0,215394550278109
"92";0,205290796393147
"93";0,202915377897508
"94";0,200168667145672
"95";0,198985324860165
"96";0,196843199209219
"97";0,191712460441079
"98";0,19055705037292
"99";0,185192674745259
"100";0,180065094353763
"101";0,178292124863605
"102";0,174275527242289
"103";0,17079945917125
"104";0,166906624918712
"105";0,164894437829578
"106";0,161087796902143
"107";0,158806531560372
"108";0,158523621349413
"109";0,156582234184358
"110";0,152050988094992
"111";0,151233962644388
"112";0,146045421318215
"113";0,145021890249867
"114";0,143301029545583
"115";0,139961727969539
"116";0,137541789881953
"117";0,135502974132027
"118";0,131511442578082
"119";0,128813289093854
"120";0,12809535163035
"121";0,126624938929391
"122";0,124737685881535
"123";0,122320269106655
"124";0,121169659365821
"125";0,117515833248212
"126";0,116192222978531
"127";0,115108231543418
"128";0,113302977842669
"129";0,112726135254441
"130";0,112339827710582
"131";0,110798608407847
"132";0,107146883169442
"133";0,10644523341342
"134";0,104657642421744
"135";0,104038270012201
"136";0,101981594128947
"137";0,100239652749461
"138";0,0997465623618951
"139";0,0965827234622286
"140";0,0961204584872179
"141";0,0955070192669068
"142";0,0949859006060556
"143";0,0925316426671749
"144";0,0905837756359889
"145";0,0896191412215864
"146";0,0890565420074649
"147";0,0877453942437184
"148";0,086708420530617
"149";0,0854839386030315
"150";0,0847314631181059
"151";0,0836299641733931
"152";0,0832599351402817
"153";0,0823947822510178
"154";0,0814357865219022
"155";0,0802221251867284
"156";0,0790823923868479
"157";0,0783503043314338
"158";0,0781638987824691
"159";0,0761293592979005
"160";0,0760760452971417
"161";0,0754933507128023
"162";0,0744667730893242
"163";0,0742038117510441
"164";0,0732667352158145
"165";0,0723119793354906
"166";0,0720247185339071
"167";0,0717765232276724
"168";0,0710189653457526
"169";0,070268068022828
"170";0,0694200762352809
"171";0,0690956919417889
"172";0,068418977472154
"173";0,0678109587374642
"174";0,0669412017791329
"175";0,06674939038833
"176";0,0652753042974239
"177";0,065243490692455
"178";0,0641572972539821
"179";0,0639452569761432
"180";0,0629131270046188
"181";0,0623218932970615
"182";0,0618717223659082
"183";0,0614500219071313
"184";0,0607762688611447
"185";0,0604415554156845
"186";0,0599639948199893
"187";0,0592912403263804
"188";0,0588052191568267
"189";0,0584908883208904
"190";0,058194144740655
"191";0,0576109298733379
"192";0,0567975430541977
"193";0,0565976196013463
"194";0,056504132710066
"195";0,0553393556539358
"196";0,0548464224047686
"197";0,054717287165518
"198";0,0543689690601452
"199";0,0540459079037788
"200";0,0535295575677337
"201";0,052774355930868
"202";0,0523781369534844
"203";0,0518488427055756
"204";0,0512239254446687
"205";0,0511304725297626
"206";0,050819498294062
"207";0,0502995581608953
"208";0,0501331936431938
"209";0,0494154076710169
"210";0,0491221416520437
"211";0,0486377692313498
"212";0,0484941857720536
"213";0,048351373351105
"214";0,0475951651601235
"215";0,0471394591097189
"216";0,0468243624158823
"217";0,046279303512093
"218";0,0460386020896653
"219";0,0458221023134732
"220";0,045779691003145
"221";0,0454680003527915
"222";0,0447016323284435
"223";0,0443696097573755
"224";0,0442571855461496
"225";0,0435142927027832
"226";0,043446302700662
"227";0,0429484508535743
"228";0,0428504034547706
"229";0,0423696127063909
"230";0,042188793023685
"231";0,0419646323941014
"232";0,0416226659958455
"233";0,041250881867151
"234";0,0407898794606067
"235";0,0406408172655861
"236";0,0404479509216338
"237";0,0403904884580872
"238";0,0399656881691415
"239";0,0397657380639953
"240";0,0394260784878438
"241";0,038970180176917
"242";0,0389241218302998
"243";0,0387985846191424
"244";0,0382726962420592
"245";0,0381012214459788
"246";0,0379309844882426
"247";0,037653223812199
"248";0,0373067816018826
"249";0,0372822666550262
"250";0,0368871057801527
"251";0,0368536439166143
"252";0,0367970625266064
"253";0,0361322226257688
"254";0,0361059565919582
"255";0,0358141396387109
"256";0,0357115365574986
"257";0,0353546378192879
"258";0,0349120235860137
"259";0,0346846821491613
"260";0,034474257672413
"261";0,0343615065515184
"262";0,0343414208865378
"263";0,0340536596010574
"264";0,0339419887500274
"265";0,0336389389339759
"266";0,0334269252281751
"267";0,0332763990198798
"268";0,0330016815377326
"269";0,0328351550968215
"270";0,0327241930411877
"271";0,0325058639676625
"272";0,0322370338605007
"273";0,0319756964476923
"274";0,0316644816407373
"275";0,0315247136868001
"276";0,031318400002888
"277";0,0312099126345167
"278";0,0309984935978538
"279";0,0307025617765084
"280";0,0304949624014661
"281";0,0304429211609193
"282";0,03036530336758
"283";0,0302432069566605
"284";0,0299095768813184
"285";0,0298773453255205
"286";0,0297610917203014
"287";0,0296560690012038
"288";0,0294052431798493
"289";0,0292938122148775
"290";0,0290824333972137
"291";0,0289517417373859
"292";0,0288730524201184
"293";0,0287817629321885
"294";0,0285471235828332
"295";0,0282898831051264
