"";"accuracy";"performance"
"163";75,4166666666667;6,67099999999994
"164";74,75;6,9670000000001
"165";74,9166666666667;6,81400000000008
"166";74,875;7,01099999999997
"167";74,8333333333333;6,98500000000001
"168";73,9166666666667;7,41800000000001
"169";74,0833333333333;7,32999999999993
"170";73,875;7,11300000000006
"171";74,0416666666667;7,19899999999996
"172";73,9583333333333;7,18400000000008
"173";73,5833333333333;7,26100000000008
"174";74,0416666666667;7,49300000000005
"175";74,625;7,47299999999996
"176";73,75;7,697
"177";73,5416666666667;8,34900000000005
"178";74,0416666666667;7,52699999999993
"179";73,0416666666667;7,54399999999998
"180";73,0416666666667;7,87899999999991
"181";72,75;8,03500000000008
"182";73,2083333333333;7,75699999999983
"183";73,5833333333333;8,15000000000009
"184";72,25;8,32400000000007
"185";72,4166666666667;8,19799999999987
"186";72,75;8,24600000000009
"187";72;8,31700000000001
"188";73;8,36899999999991
"189";72,6666666666667;8,452
"190";72,625;8,60400000000004
"191";72,3333333333333;9,3309999999999
"192";72,375;9,32600000000002
"193";71,9583333333333;8,69200000000001
"194";71,5;8,99000000000001
"195";71,2916666666667;8,87599999999998
"196";71,4166666666667;8,952
"197";71,75;9,0329999999999
"198";71,4166666666667;8,90100000000007
"199";71,4583333333333;9,69200000000001
"200";70,75;9,22299999999996
"201";70,7916666666667;9,55400000000009
"202";71,1666666666667;9,30799999999999
"203";71,3333333333333;9,63599999999997
"204";70,5416666666667;10,9459999999999
"205";70,875;9,91300000000001
"206";70,7916666666667;10,48
"207";70,625;10,5820000000001
"208";69,875;10,9280000000001
"209";70,25;10,4939999999999
"210";70,7916666666667;10,1590000000001
"211";70,875;10,404
"212";70,2083333333333;10,2750000000001
"213";70,375;10,7090000000001
"214";70,9583333333333;10,838
"215";70,5416666666667;11,3620000000001
"216";70,0833333333333;10,97
"217";69,7083333333333;10,95
"218";69,4583333333333;11,1900000000001
"219";69;11,471
"220";69,5;11,2940000000001
"221";69,75;11,4059999999999
"222";69,625;11,9000000000001
"223";68,7916666666667;11,671
"224";69,0416666666667;11,9080000000001
"225";68,625;12,1670000000001
"226";69,1666666666667;13,27
"227";68,9166666666667;12,4269999999999
"228";68,6666666666667;13,808
"229";68,0833333333333;13,529
"230";68,0833333333333;13,3910000000001
"231";68,1666666666667;13,673
"232";67,8333333333333;13,9400000000001
"233";67,6666666666667;13,0719999999999
"234";67,4583333333333;13,423
"235";66,7916666666667;14,2380000000001
"236";67;14,4400000000001
"237";66,7083333333333;14,306
"238";66;14,325
"239";66,375;15,2350000000001
"240";66,1666666666667;14,8610000000001
"241";66,5416666666667;15,0140000000001
"242";66,2083333333333;14,8779999999999
"243";65,9166666666667;15,866
"244";65,8333333333333;15,2650000000001
"245";65,5416666666667;15,316
"246";64,875;15,029
"247";64,4583333333333;15,759
"248";64,7083333333333;15,1029999999998
"249";64,9166666666667;15,5569999999998
"250";65,0833333333333;16,5829999999999
"251";64,125;15,7139999999999
"252";65;16,3290000000002
"253";64,4583333333333;16,123
"254";64;16,7449999999999
"255";64,7083333333333;16,3130000000001
"256";63,6666666666667;17,3689999999999
"257";64;16,828
"258";64,2916666666667;17,4849999999999
"259";63,7916666666667;18,019
"260";63,4583333333333;16,9110000000001
"261";63,2083333333333;17,242
"262";63,625;17,7
"263";62,3333333333333;17,973
"264";62,9583333333333;18,4180000000001
"265";61,5;18,4340000000002
"266";62,2916666666667;18,2940000000003
"267";61,6666666666667;18,4090000000001
"268";62,4583333333333;19,3209999999999
"269";61,9166666666667;19,1030000000001
"270";61,4583333333333;19,5169999999998
"271";61,5;20,1040000000003
"272";60,9583333333333;19,5650000000001
"273";61;19,634
"274";60,375;19,7719999999999
"275";60,2916666666667;19,27
"276";60,6666666666667;20,7909999999997
"277";60,375;20,5079999999998
"278";59,7083333333333;21,8530000000001
"279";60;20,9590000000003
"280";59,5;20,9920000000002
"281";59,25;21,3499999999999
"282";59,9166666666667;21,1610000000001
"283";59,25;21,3820000000001
"284";59,5416666666667;22,009
"285";58,2083333333333;21,3590000000004
"286";58,5416666666667;21,248
"287";58,75;22,2860000000001
"288";58,9166666666667;22,4290000000001
"289";58,5833333333333;23,328
"290";58,0416666666667;22,1170000000002
"291";58,2916666666667;22,009
"292";58,4583333333333;22,8379999999997
"293";58,0416666666667;23,1060000000002
"294";58,1666666666667;23,4059999999999
"295";57,8333333333333;23,3180000000002
"296";58,2916666666667;22,8919999999998
"297";58,125;23,239
"298";58,0416666666667;23,9549999999999
"299";58;23,6990000000001
"300";58,0416666666667;23,4790000000003
"301";58,2083333333333;24,203
"302";58,2916666666667;23,703
"303";57,9166666666667;24,3899999999999
"304";59,0833333333333;24,2539999999999
"305";58,5833333333333;24,5480000000002
"306";58,75;25,518
"307";58;24,973
"308";58,0416666666667;25,165
"309";58;26,3359999999998
"310";58,1666666666667;25,3339999999998
"311";58,4166666666667;26,1150000000002
"312";58,2083333333333;25,5950000000003
"313";57,7916666666667;25,9309999999996
"314";57,8333333333333;26,1900000000001
"315";57,4166666666667;26,0360000000001
"316";56,75;26,4320000000002
"317";56,9583333333333;27,5909999999999
"318";57,3333333333333;26,877
"319";57,125;27,366
"320";57,125;27,0140000000001
"321";57,0833333333333;27,0720000000001
"322";56,5416666666667;28,0729999999999
"323";56,2916666666667;27,7629999999999
"324";56,2083333333333;28,0640000000003
"325";55,875;27,5119999999997
"326";55,5416666666667;28,2440000000001
"327";55,625;28,3719999999998
"328";56,0416666666667;28,951
"329";55,4583333333333;28,7350000000001
"330";55,875;29,2069999999999
"331";55,8333333333333;28,7130000000002
"332";55;28,7220000000002
"333";55,1666666666667;29,5430000000001
"334";55,0416666666667;29,4670000000001
"335";55,2916666666667;29,471
"336";55,1666666666667;30,3069999999998
"337";55,5833333333333;29,5719999999997
"338";54,6666666666667;29,73
"339";54,4583333333333;30,1759999999999
"340";54,625;30,0540000000001
"341";54,4583333333333;30,7200000000003
"342";53,8333333333333;30,6889999999999
"343";54,125;30,8320000000003
"344";54,2083333333333;31,0889999999999
"345";54,4583333333333;30,576
"346";52,8333333333333;31,0140000000001
"347";53,3333333333333;31,3800000000001
"348";53,875;31,098
"349";52,9583333333333;31,2699999999995
"350";52,4583333333333;32,0770000000002
