"";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9"
"0";474;87;7;5;137;6;25;3;10;7
"1";39;629;21;13;9;2;10;5;0;4
"2";53;122;662;693;19;31;35;872;36;40
"3";0;0;0;0;0;0;0;0;0;0
"4";0;0;2;0;1;1;0;0;2;3
"5";23;52;72;119;225;779;93;45;587;74
"6";56;29;19;4;35;27;793;7;31;4
"7";0;0;1;0;0;0;0;0;0;0
"8";0;0;2;0;0;0;1;0;0;0
"9";308;30;160;145;512;136;12;51;281;822
