"";"Group_#";"Member#";"DPI";"Centered";"Smoothing";"Gaussian_Sigma";"Data_Loading_Time [s]";"PCA";"Normalized";"split";"k";"accuracy";"k_time [s]"
"35";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"5";"97.875";"2.4429999999993"
"36";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"6";"98";"2.40699999999924"
"37";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"7";"97.75";"2.21999999999753"
"38";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"8";"97.75";"2.67900000000009"
"39";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"9";"97.75";"2.40500000000247"
"40";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"10";"97.75";"2.40999999999985"
"41";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"11";"97.5";"2.41100000000006"
"42";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"12";"97.125";"2.26000000000204"
"43";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"13";"97.125";"2.40999999999985"
"44";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"14";"97.25";"2.40999999999985"
"45";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"15";"97.25";"2.41100000000006"
"46";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"16";"97.25";"2.26000000000204"
"47";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"17";"97.25";"2.41700000000128"
"48";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"18";"97.25";"2.41300000000047"
"49";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"19";"97.125";"2.35499999999956"
"50";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"20";"97.125";"2.41599999999744"
"51";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"21";"97.25";"2.41100000000006"
"52";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"22";"96.875";"2.48099999999977"
"53";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"23";"96.75";"2.27999999999884"
"54";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"24";"96.75";"2.23400000000038"
"55";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"25";"96.75";"2.41200000000026"
"56";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"26";"96.625";"2.41500000000087"
"57";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"27";"96.625";"2.41600000000108"
"58";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"28";"96.625";"2.25200000000041"
"59";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"29";"96.625";"2.42099999999846"
"60";"0";"2";"100";"1";"gaussian";"0.6";"6.4419999999991";"FALSE";"FALSE";"0.8  (Person dependent)";"30";"96.5";"2.41700000000128"
"61";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"1";"96.25";"2.40099999999802"
"62";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"2";"94.375";"2.4320000000007"
"63";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"3";"95";"2.35499999999956"
"64";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"4";"95.375";"2.21299999999974"
"65";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"5";"95.375";"2.35699999999997"
"66";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"6";"95.25";"2.21199999999953"
"67";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"7";"95";"2.21500000000015"
"68";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"8";"94.5";"2.66900000000169"
"69";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"9";"94.375";"2.22699999999895"
"70";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"10";"94.125";"2.41200000000026"
"71";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"11";"93.75";"2.16100000000006"
"72";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"12";"93.625";"2.41599999999744"
"73";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"13";"93.375";"2.2390000000014"
"74";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"14";"93.875";"2.25"
"75";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"15";"93.625";"2.34199999999691"
"76";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"16";"93.5";"2.41600000000108"
"77";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"17";"93";"2.22099999999773"
"78";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"18";"93.125";"2.18100000000049"
"79";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"19";"92.625";"2.41300000000047"
"80";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"20";"93.125";"2.41300000000047"
"81";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"21";"93.125";"2.41100000000006"
"82";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"22";"93";"2.18400000000111"
"83";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"23";"93.125";"2.41500000000087"
"84";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"24";"92.75";"2.24700000000303"
"85";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"25";"92.625";"2.41599999999744"
"86";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"26";"92.75";"2.41500000000087"
"87";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"27";"92.375";"2.41699999999764"
"88";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"28";"92.375";"2.2510000000002"
"89";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"29";"92.375";"2.42500000000291"
"90";"0";"3";"100";"1";"gaussian";"0.6";"6.46100000000297";"FALSE";"FALSE";"0.8  (Person dependent)";"30";"92.375";"2.17000000000189"
"91";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"1";"98.25";"2.41100000000006"
"92";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"2";"98.125";"2.4320000000007"
"93";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"3";"98.25";"2.22500000000218"
"94";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"4";"98.375";"2.2029999999977"
"95";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"5";"98.125";"2.23600000000079"
"96";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"6";"98.625";"2.2039999999979"
"97";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"7";"98.25";"2.26699999999983"
"98";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"8";"98.375";"2.72000000000116"
"99";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"9";"98.25";"2.40599999999904"
"100";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"10";"98.375";"2.40699999999924"
"101";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"11";"98.25";"2.2039999999979"
"102";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"12";"98.375";"2.41800000000148"
"103";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"13";"98.375";"2.40899999999965"
"104";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"14";"98.25";"2.41100000000006"
"105";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"15";"98.25";"2.22999999999956"
"106";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"16";"98.25";"2.40699999999924"
"107";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"17";"98.25";"2.41399999999703"
"108";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"18";"97.875";"2.21600000000035"
"109";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"19";"97.875";"2.41400000000067"
"110";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"20";"97.875";"2.41599999999744"
"111";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"21";"98";"2.24699999999939"
"112";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"22";"97.875";"2.26699999999983"
"113";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"23";"97.875";"2.41700000000128"
"114";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"24";"97.75";"2.20500000000175"
"115";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"25";"97.5";"2.23300000000017"
"116";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"26";"97.25";"2.41599999999744"
"117";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"27";"97.5";"2.41600000000108"
"118";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"28";"97.125";"2.2510000000002"
"119";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"29";"97.25";"2.23399999999674"
"120";"1";"1";"100";"1";"gaussian";"0.6";"6.42500000000291";"FALSE";"FALSE";"0.8  (Person dependent)";"30";"97.25";"2.41800000000148"
"121";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"1";"99.375";"2.4320000000007"
"122";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"2";"98.75";"2.21900000000096"
"123";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"3";"98.5";"2.22099999999773"
"124";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"4";"98.625";"2.21199999999953"
"125";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"5";"98.5";"2.22200000000157"
"126";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"6";"98.5";"2.21199999999953"
"127";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"7";"98.875";"2.21700000000055"
"128";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"8";"99";"2.46100000000297"
"129";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"9";"98.625";"2.23400000000038"
"130";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"10";"98.375";"2.40799999999945"
"131";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"11";"98.375";"2.18000000000029"
"132";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"12";"98.25";"2.40699999999924"
"133";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"13";"98.375";"2.22999999999956"
"134";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"14";"98.375";"2.41100000000006"
"135";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"15";"98.375";"2.18499999999767"
"136";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"16";"98.125";"2.40899999999965"
"137";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"17";"98.125";"2.41600000000108"
"138";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"18";"98";"2.18100000000049"
"139";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"19";"98";"2.41199999999662"
"140";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"20";"98";"2.42000000000189"
"141";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"21";"97.875";"2.41499999999724"
"142";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"22";"97.875";"2.41500000000087"
"143";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"23";"97.875";"2.15699999999924"
"144";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"24";"97.875";"2.24599999999919"
"145";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"25";"97.75";"2.42399999999907"
"146";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"26";"97.75";"2.33499999999913"
"147";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"27";"97.75";"2.43000000000029"
"148";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"28";"97.75";"2.41799999999785"
"149";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"29";"97.625";"2.42699999999968"
"150";"1";"2";"100";"1";"gaussian";"0.6";"6.4529999999977";"FALSE";"FALSE";"0.8  (Person dependent)";"30";"97.5";"2.19800000000032"
"151";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"1";"98.75";"2.22000000000116"
"152";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"2";"98.75";"2.2589999999982"
"153";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"3";"98.75";"2.40699999999924"
"154";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"4";"98.5";"2.21100000000297"
"155";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"5";"98.875";"2.40999999999985"
"156";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"6";"98.625";"2.21500000000015"
"157";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"7";"98.5";"2.2390000000014"
"158";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"8";"98.125";"2.41200000000026"
"159";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"9";"98.375";"2.41100000000006"
"160";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"10";"98.125";"2.22100000000137"
"161";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"11";"98.25";"2.42799999999988"
"162";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"12";"98.125";"2.41399999999703"
"163";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"13";"98.125";"2.41100000000006"
"164";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"14";"98.25";"2.41100000000006"
"165";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"15";"98.25";"2.24499999999898"
"166";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"16";"98";"2.41300000000047"
"167";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"17";"98";"2.41200000000026"
"168";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"18";"98";"2.44599999999991"
"169";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"19";"98.25";"2.33500000000276"
"170";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"20";"97.75";"2.41900000000169"
"171";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"21";"97.625";"2.41200000000026"
"172";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"22";"97.75";"2.31400000000212"
"173";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"23";"97.75";"2.41400000000067"
"174";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"24";"97.5";"2.41200000000026"
"175";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"25";"97.625";"2.3640000000014"
"176";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"26";"97.625";"2.18899999999849"
"177";"1";"3";"100";"1";"gaussian";"0.6";"6.40899999999965";"FALSE";"FALSE";"0.8  (Person dependent)";"27";"97.375";"2.41900000000169"
