"PCA#" "Threshold" "entropyLeft" "entropyRight" "entropyTotal" "informationGain"
"iteration" 1 -7.07595624130359 0.877962001394391 3.32160851186456 3.31256701977582 0.00911340235790936
"iteration" 1 -5.28252683017697 1.34202466352171 3.31687052164984 3.23827165649634 0.0834087656373881
"iteration" 1 -3.48909741905036 1.84995279285765 3.25715431291056 3.0267250640019 0.294955358131828
"iteration" 1 -1.69566800792375 2.24408890634402 3.05955622330474 2.80125695065743 0.520423471476298
"iteration" 1 0.0977614032028638 2.80065672276869 2.80953644243299 2.80514497707301 0.516535445060721
"iteration" 1 1.89119081432948 3.14647387539686 2.53063581262615 2.96276938127235 0.358911040861374
"iteration" 1 3.68462022545609 3.28411212004801 2.05376009555193 3.12631947290639 0.195360949227342
"iteration" 1 5.4780496365827 3.31717392321567 1.37425329452229 3.25053174565149 0.0711486764822382
"iteration" 1 7.27147904770931 3.32109486280715 0 3.29801325351064 0.0236671686230863
"iteration" 1 9.06490845883593 3.32167860366169 0 3.32151251973151 0.000167902402217646
"iteration" 2 -8.22555439536125 0.235193381819241 3.32164605445142 3.317633665977 0.00404675615673034
"iteration" 2 -6.33668042438969 1.02693442878933 3.320656460371 3.28946184074149 0.0322185813922413
"iteration" 2 -4.44780645341814 1.77752146672406 3.31166781178204 3.22015598229933 0.101524439834399
"iteration" 2 -2.55893248244658 2.41128095208609 3.26124281650656 3.11079956650414 0.210880855629592
"iteration" 2 -0.670058511475027 2.94081187078129 3.14632380077714 3.0690102127127 0.252670209421026
"iteration" 2 1.21881545949653 3.20948120780994 2.86095250077206 3.09528577694898 0.226394645184752
"iteration" 2 3.10768943046808 3.31178319169374 2.75945347560822 3.24395710255844 0.0777233195752856
"iteration" 2 4.99656340143964 3.32084389701914 2.06261411828429 3.28366320705753 0.0380172150762021
"iteration" 2 6.8854373724112 3.32166417900442 0.367498494827291 3.31117689082559 0.0105035313081423
"iteration" 2 8.77431134338275 3.32168118290097 0 3.32151509884183 0.00016532329190122
"iteration" 3 -7.6594244560061 1.45848181437611 3.32169950563586 3.31182445187218 0.00985597026154972
"iteration" 3 -5.92493137001457 2.44255289923077 3.32121301721868 3.29687413195042 0.0248062901833115
"iteration" 3 -4.19043828402303 3.07922254174567 3.32071693250664 3.30312406613971 0.0185563559940207
"iteration" 3 -2.45594519803149 3.25684796332558 3.32045231095258 3.31184028228388 0.00984013984984689
"iteration" 3 -0.721452112039956 3.28195882378208 3.31202528632889 3.30246114459275 0.0192192775409814
"iteration" 3 1.01304097395158 3.30738154485443 3.27247245885262 3.29502023750119 0.0266601846325369
"iteration" 3 2.74753405994312 3.31827027450798 3.13166779382091 3.2989382575088 0.0227421646249248
"iteration" 3 4.48202714593465 3.32116059091759 2.59967255724891 3.306983351056 0.0146970710777286
"iteration" 3 6.21652023192619 3.32162675376782 1.76255047434123 3.31757315544131 0.00410726669241557
"iteration" 3 7.95101331791773 3.32168042213373 2.30258509299405 3.32179555138838 -0.000115129254649737
"iteration" 4 -7.03251703346939 1.90563906222957 3.3216763591745 3.32054352933694 0.0011368927967883
"iteration" 4 -5.57530326925169 2.71099313608357 3.32161176542056 3.31755115153547 0.00412927059825652
"iteration" 4 -4.11808950503398 3.11478898259423 3.32115347824943 3.31332194563932 0.00835847649440957
"iteration" 4 -2.66087574081628 3.25042053718299 3.31986954758114 3.31138982341152 0.0102905987222037
"iteration" 4 -1.20366197659857 3.29474674262208 3.31616523143171 3.30979108916196 0.0118893329717675
"iteration" 4 0.253551787619134 3.31399638122002 3.31266026491329 3.31335898693589 0.00832143519783424
"iteration" 4 1.71076555183684 3.31305364180007 3.24672754909005 3.29668767842387 0.0249927437098534
"iteration" 4 3.16797931605454 3.31876046571121 2.80511238995372 3.28773612193546 0.0339443001982724
"iteration" 4 4.62519308027225 3.32158104495987 2.31611283002873 3.31358757265117 0.00809284948256117
"iteration" 4 6.08240684448996 3.32168042213373 2.30258509299405 3.32179555138838 -0.000115129254649737
"iteration" 5 -5.9658148305338 2.90626593310989 3.32168044690121 3.32055882771398 0.00112159441975157
"iteration" 5 -4.61112031699856 3.10719571948136 3.32164735691329 3.31698303379914 0.00469738833458377
"iteration" 5 -3.25642580346332 3.19294497520644 3.32113779356267 3.31259374221923 0.00908667991449708
"iteration" 5 -1.90173128992808 3.2669159456466 3.31955560453156 3.31036472009025 0.0113157020434809
"iteration" 5 -0.547036776392835 3.28993366250612 3.31233637830109 3.30410226011065 0.0175781620230802
"iteration" 5 0.807657737142407 3.31356398032137 3.29670274763858 3.30792642717388 0.0137539949598451
"iteration" 5 2.16235225067765 3.32037960818412 3.28600230736585 3.31507519066786 0.00660523146586689
"iteration" 5 3.51704676421289 3.32112479793237 3.10068000263248 3.31202042788649 0.00965999424724018
"iteration" 5 4.87174127774813 3.32161355947373 2.24132388663525 3.3168062704296 0.00487415170413108
"iteration" 5 6.22643579128338 3.32168042213373 2.30258509299405 3.32179555138838 -0.000115129254649737
